縣市,郵遞區號,鄉鎮區,Latitude,Longitude,英文,藍新金流
新竹縣,305,新竹縣新埔鎮,24.8496061,121.0908329,"Xinpu Township, Hsinchu County",竹縣
新竹縣,306,新竹縣關西鎮,24.8044851,121.1481284,"Guanxi Township, Hsinchu County",竹縣
新竹縣,307,新竹縣芎林鄉,24.765792,121.1080244,"Qionglin Township, Hsinchu County",竹縣
新竹縣,308,新竹縣寶山鄉,24.7427912,120.9991032,"Baoshan Township, Hsinchu County",竹縣
新竹縣,310,新竹縣竹東鎮,24.774922,121.0449768,"Zhudong Township, Hsinchu County",竹縣
新竹縣,311,新竹縣五峰鄉,24.6298238,121.1194623,"Wufeng Township, Hsinchu County",竹縣
新竹縣,312,新竹縣橫山鄉,24.7113011,121.1366715,"Hengshan Township, Hsinchu County",竹縣
新竹縣,313,新竹縣尖石鄉,24.5760667,121.3084088,"Jianshi Township, Hsinchu County",竹縣
新竹縣,314,新竹縣北埔鄉,24.6998411,121.0563176,"Beipu Township, Hsinchu County",竹縣
新竹縣,315,新竹縣峨眉鄉,24.6788411,120.9991032,"Emei Township, Hsinchu County",竹縣
苗栗縣,350,苗栗縣竹南鎮,24.7009219,120.8786026,"Zhunan Township, Miaoli County",苗縣
苗栗縣,351,苗栗縣頭份鎮,24.6884438,120.9024836,"Toufen Township, Miaoli County",苗縣
苗栗縣,352,苗栗縣三灣鄉,24.6305288,120.9302603,"Sanwan Township, Miaoli County",苗縣
苗栗縣,353,苗栗縣南庄鄉,24.5802942,121.0105733,"Nanzhuang Township, Miaoli County",苗縣
苗栗縣,354,苗栗縣獅潭鄉,24.5238661,120.9302603,"Shitan Township, Miaoli County",苗縣
苗栗縣,356,苗栗縣後龍鎮,24.6144348,120.7906035,"Houlong Township, Miaoli County",苗縣
苗栗縣,357,苗栗縣通霄鎮,24.4892617,120.6803783,"Tongxiao Township, Miaoli County",苗縣
